ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
3068,M,WHITE,48 or older,FALSE,4,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,3,2,0,0,0,FALSE,FALSE,0,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,446,0,0,0,0,0,0,TRUE,0
2308,M,BLACK,38-42,FALSE,4,Specialized,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,2,1,5 or more,5 or more,1,FALSE,TRUE,3 or more,1,FALSE,3 or more,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,5,3 or more,0,90.4,0,0,0,0,0.39380531,1.616150442,FALSE,1
813,M,BLACK,43-47,FALSE,4,Specialized,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,0,4,5 or more,4,FALSE,FALSE,3 or more,4 or more,FALSE,2,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,10 or more,1,2,13.08823529,0.294117659,0.029411765,0,0,0.440449438,0.820786517,FALSE,1
8842,M,BLACK,43-47,FALSE,4,Specialized,High School Diploma,2,Violent/Non-Sex,Greater than 2 to 3 years,6,6 or more,3 or more,2,0,2,FALSE,FALSE,2,4 or more,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,133.3333333,0,0,0,0,0.745,1.82625,TRUE,0
4945,M,WHITE,48 or older,FALSE,4,Specialized,High School Diploma,3 or more,Violent/Sex,Greater than 2 to 3 years,1,4,1,0,1,1,FALSE,FALSE,0,4 or more,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,10 or more,0,0,11.68253968,0,0,0,0,0.986413043,0.992527174,FALSE,0
2377,M,WHITE,48 or older,FALSE,4,Specialized,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,4,5,3 or more,0,1,1,FALSE,TRUE,2,2,TRUE,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,5,0,1,58.66666667,0,0,0,0,0.926136364,1.383522727,FALSE,0
25140,M,WHITE,33-37,FALSE,4,Specialized,Less than HS diploma,0,Violent/Sex,1-2 years,3,2,2,1,1,0,FALSE,FALSE,1,2,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,10 or more,0,0,21.25,0,0,0,0,0.461764706,1,TRUE,0
17045,M,BLACK,48 or older,FALSE,4,Specialized,Less than HS diploma,1,Property,1-2 years,7,0,0,1,0,4,FALSE,FALSE,0,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,7,0,0,45.5,0.166666672,0.5,0,0,0.333333333,2,FALSE,1
2654,M,BLACK,33-37,FALSE,4,Specialized,Less than HS diploma,1,Violent/Non-Sex,Less than 1 year,8,6 or more,2,5 or more,1,4,FALSE,FALSE,2,4 or more,TRUE,3 or more,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,19,0,0,0,0,0,0,TRUE,1
21695,M,WHITE,33-37,FALSE,4,Standard,At least some college,0,Drug,Less than 1 year,3,0,0,1,1,1,FALSE,FALSE,0,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,7,0,0,20.21428571,0,0,0.071428575,0.071428575,1,2,FALSE,0
12930,M,WHITE,48 or older,FALSE,4,Standard,At least some college,0,Property,1-2 years,8,5,3 or more,2,2,5 or more,FALSE,FALSE,2,1,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,1,0,2,13.7,0,0.166666672,0,0.06666667,0.639902676,0.888686131,FALSE,1
3768,M,BLACK,48 or older,FALSE,4,Standard,At least some college,0,Property,Less than 1 year,10 or more,6 or more,1,2,2,5 or more,FALSE,FALSE,3 or more,4 or more,FALSE,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,49.75,0,0,0,0,0.718592965,1,FALSE,0
11037,M,WHITE,48 or older,FALSE,4,Standard,At least some college,0,Violent/Non-Sex,Greater than 2 to 3 years,4,6 or more,3 or more,2,1,1,FALSE,FALSE,1,2,TRUE,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,3 or more,44.93333333,0,0,0,0,0.059347181,0.541913947,TRUE,1
2644,M,BLACK,33-37,FALSE,4,Standard,At least some college,1,Other,1-2 years,9,6 or more,1,5 or more,1,3,FALSE,FALSE,2,2,FALSE,3 or more,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,130,0,0,0,0,1,1,FALSE,1
13492,M,BLACK,43-47,FALSE,4,Standard,At least some college,2,Drug,More than 3 years,1,1,0,0,0,0,FALSE,FALSE,0,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,3 or more,52.3,0,0.050000001,0,0,1,1.396749522,FALSE,1
21708,M,BLACK,38-42,FALSE,4,Standard,At least some college,2,Other,Less than 1 year,10 or more,4,2,2,5 or more,0,FALSE,TRUE,3 or more,3,FALSE,1,2 or more,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,2,2,17.61538462,0,0,0,0,0.113537118,1,TRUE,0
7894,M,WHITE,28-32,FALSE,4,Standard,At least some college,2,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,1,1,1,5 or more,TRUE,FALSE,2,2,FALSE,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,46.5,0,0,0,0,0.954301075,1.963709677,FALSE,1
5302,M,WHITE,43-47,FALSE,4,Standard,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,2,5 or more,3,3,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,81.33333333,0,0,0,0,0.598360656,1,FALSE,1
20856,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,3,3 or more,0,142.8,0,0,0,0,0,0,FALSE,1
21809,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Property,1-2 years,10 or more,3,0,5 or more,3,2,FALSE,TRUE,3 or more,0,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,1,2,2,166.7142857,0.142857149,0,0,0,0,0,FALSE,0
12961,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Property,Greater than 2 to 3 years,10 or more,5,1,5 or more,0,2,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,108.3333333,0,0.333333343,0,0,0,0,FALSE,0
11792,M,WHITE,43-47,FALSE,4,Standard,At least some college,3 or more,Property,More than 3 years,2,0,1,0,0,0,FALSE,FALSE,0,1,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,218.1428571,0,0,0,0,0.133595285,0.239194499,FALSE,0
2763,M,WHITE,48 or older,FALSE,4,Standard,At least some college,3 or more,Property,More than 3 years,7,1,0,5 or more,1,1,FALSE,FALSE,3 or more,0,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,0,0,3 or more,,,,,,0.88593577,0.202242525,TRUE,0
6559,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Property,More than 3 years,10 or more,6 or more,2,5 or more,2,3,FALSE,FALSE,3 or more,2,TRUE,3 or more,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,0,0,0,185.2857143,0,0,0,0,0,0,FALSE,0
13181,M,BLACK,38-42,FALSE,4,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,5,6 or more,3 or more,4,0,2,FALSE,FALSE,1,4 or more,TRUE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,,0,0,0,0,0,0,FALSE,0
2016,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,2,2,2,1,0,0,FALSE,TRUE,1,0,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,,0,0,0,0,0,,FALSE,0
20625,M,BLACK,48 or older,FALSE,4,Standard,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,1,1,2,0,0,FALSE,FALSE,1,1,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,0,3 or more,115.8666667,0.06666667,0.06666667,0,0,0,0,FALSE,0
21467,M,BLACK,33-37,FALSE,4,Standard,High School Diploma,0,Drug,Less than 1 year,10 or more,3,1,4,3,5 or more,FALSE,TRUE,3 or more,3,TRUE,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4 or more,6,3 or more,0,53.2,0.400000006,0,0,0,0,0,FALSE,1
22716,M,BLACK,33-37,FALSE,4,Standard,High School Diploma,0,Drug,Less than 1 year,3,5,0,4,1,1,FALSE,FALSE,1,3,FALSE,3 or more,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,0,0,11.09090909,0,0,0,0,1,1,TRUE,1
23647,M,BLACK,28-32,FALSE,4,Standard,High School Diploma,0,Other,Less than 1 year,4,2,0,2,1,0,FALSE,TRUE,0,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,1,83.28571429,0,0,0,0,1,1.253001715,FALSE,0
10496,M,BLACK,43-47,FALSE,4,Standard,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,0,5 or more,2,4,FALSE,FALSE,3 or more,2,FALSE,3 or more,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,324,0,0,0,0,1,0.563657407,FALSE,0
5703,M,BLACK,38-42,FALSE,4,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,8,6 or more,3 or more,2,2,0,FALSE,FALSE,1,4 or more,TRUE,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,35.16666667,0,0,0,0,0,0,FALSE,1
10986,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,10 or more,6 or more,0,5 or more,2,4,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0,0,FALSE,1
14398,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,6,3,3 or more,0,0,0,TRUE,TRUE,1,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,76.5,0,0,0,0,0,0,FALSE,1
23148,M,BLACK,43-47,FALSE,4,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,1,0,0,1,0,0,FALSE,FALSE,0,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,2,3 or more,3 or more,,0,0,0,0,0,,FALSE,0
4231,M,BLACK,33-37,FALSE,4,Standard,High School Diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,0,2,3,FALSE,TRUE,1,3,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,10.64705882,0,0,0,0,0,0,FALSE,0
10112,M,BLACK,43-47,FALSE,4,Standard,High School Diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,5,3 or more,5 or more,1,3,FALSE,TRUE,3 or more,3,TRUE,3 or more,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,27,0,0,0,0,0,0,FALSE,1
20861,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,0,4,5 or more,5 or more,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,19,0.200000003,0,0,0,0,0,FALSE,0
5433,M,BLACK,38-42,FALSE,4,Standard,High School Diploma,2,Drug,More than 3 years,7,2,0,2,5 or more,1,FALSE,FALSE,0,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,2,,0,0,0,0,0,0,TRUE,1
1408,M,BLACK,38-42,FALSE,4,Standard,High School Diploma,2,Other,More than 3 years,4,2,1,2,2,0,FALSE,TRUE,0,2,TRUE,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,123,0,0,0,0,1,2.969512195,FALSE,0
5562,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,2,Property,Greater than 2 to 3 years,3,4,0,2,1,0,FALSE,TRUE,1,2,FALSE,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,204,0,0,0,0,0,0,FALSE,0
11103,M,BLACK,38-42,FALSE,4,Standard,High School Diploma,2,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,1,1,TRUE,FALSE,2,3,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,22.8,0,0,0,0.06666667,0.649122807,1,FALSE,1
352,M,WHITE,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Other,1-2 years,10 or more,6 or more,1,3,5 or more,2,FALSE,FALSE,3 or more,4 or more,TRUE,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,1,3 or more,54.5,0,0,0,0,0.897247706,0.670183486,FALSE,1
772,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Property,1-2 years,10 or more,3,0,5 or more,0,5 or more,FALSE,FALSE,3 or more,2,FALSE,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4 or more,0,0,0,,,,,,0,0,FALSE,0
12819,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Property,Greater than 2 to 3 years,10 or more,1,1,5 or more,3,5 or more,FALSE,FALSE,3 or more,1,FALSE,3 or more,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,0,0,FALSE,1
24826,M,BLACK,33-37,FALSE,4,Standard,High School Diploma,3 or more,Property,Less than 1 year,1,3,0,1,0,1,FALSE,FALSE,1,0,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,0,0,24.1,0.100000001,0,0,0,0.746887967,2,FALSE,1
12296,M,BLACK,43-47,TRUE,4,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,0,5 or more,3,5 or more,FALSE,FALSE,2,4 or more,FALSE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,0,,,,,,0,0,FALSE,1
14027,M,BLACK,43-47,FALSE,4,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,5 or more,2,TRUE,FALSE,3 or more,4 or more,TRUE,3 or more,2 or more,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3 or more,0,18,0.200000003,0,0,0,0.7,1,FALSE,0
14061,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Property,More than 3 years,10 or more,5,3 or more,5 or more,2,3,FALSE,TRUE,3 or more,2,TRUE,3 or more,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,55.6,0,0,0,0,0,0,FALSE,1
3608,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,8,1,3 or more,2,2,1,FALSE,FALSE,2,3,TRUE,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,0,0,2,25.95348837,0,0.058139537,0,0.011627907,0.716845878,0.490927419,TRUE,0
21287,M,BLACK,33-37,FALSE,4,Standard,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,3,6 or more,3 or more,2,0,1,FALSE,FALSE,0,4 or more,TRUE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,111,0,0,0,0,0,0,FALSE,1
8171,M,BLACK,48 or older,FALSE,4,Standard,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,2,2,0,FALSE,FALSE,0,1,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,68.6,0,0,0,0,0,0,FALSE,0
4983,M,WHITE,43-47,FALSE,4,Standard,Less than HS diploma,0,Property,1-2 years,9,4,0,5 or more,2,1,FALSE,FALSE,2,4 or more,TRUE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,23,0,0,0,0,0,0,FALSE,1
13841,M,BLACK,33-37,FALSE,4,Standard,Less than HS diploma,0,Property,Greater than 2 to 3 years,4,6 or more,1,4,1,5 or more,FALSE,FALSE,1,2,FALSE,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4 or more,0,0,2,47.05714286,0.200000003,0.085714288,0.085714288,0.057142857,0.887067395,0.443533698,FALSE,0
12210,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,0,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,1,3,TRUE,FALSE,2,4 or more,TRUE,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,0.839655172,FALSE,0
2348,M,BLACK,43-47,FALSE,4,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,1,2,3,4,1,FALSE,FALSE,1,2,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,122.3333333,0,0,0,0,0.46866485,0.995231608,FALSE,1
3158,M,BLACK,43-47,FALSE,4,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,3,1,5 or more,2,3,FALSE,FALSE,3 or more,1,FALSE,3 or more,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4 or more,0,0,1,17.25,0.25,0.25,0,0,1,1,FALSE,1
110,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,3,5 or more,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,66.8,0,0,0,0,0.395209581,1,FALSE,1
4429,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,5 or more,1,FALSE,TRUE,3 or more,4 or more,TRUE,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,5,0,1,24.82352941,0.117647059,0,0,0,1,1.731042654,FALSE,0
21089,M,BLACK,33-37,FALSE,4,Standard,Less than HS diploma,1,Drug,Less than 1 year,9,2,0,1,4,4,FALSE,FALSE,2,1,FALSE,0,2 or more,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,73.75,0,0,0,0,1,2,FALSE,0
2657,M,BLACK,38-42,FALSE,4,Standard,Less than HS diploma,1,Violent/Non-Sex,1-2 years,5,4,3 or more,0,1,1,FALSE,TRUE,1,3,TRUE,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6,3 or more,1,58.4,0,0,0,0,0.253424658,1,TRUE,1
2207,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,0,3,FALSE,FALSE,3 or more,3,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,,,,,,1,1,FALSE,1
1600,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,2,Drug,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,5 or more,4,FALSE,FALSE,3 or more,4 or more,TRUE,3 or more,2 or more,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,398.75,0,0,0,0,0,0,FALSE,1
18680,M,BLACK,38-42,FALSE,4,Standard,Less than HS diploma,2,Drug,Less than 1 year,4,4,1,1,2,1,FALSE,FALSE,2,2,FALSE,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,16.66666667,0,0,0,0,0,0,FALSE,1
13423,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,2,Other,Greater than 2 to 3 years,10 or more,4,2,3,1,0,FALSE,TRUE,3 or more,1,FALSE,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,2,61.09090909,0,0,0,0,0,0,FALSE,1
8970,M,BLACK,28-32,FALSE,4,Standard,Less than HS diploma,2,Property,Less than 1 year,8,3,2,3,2,1,FALSE,TRUE,1,2,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,41.5,0,0,0,0,0,0,FALSE,1
25492,M,BLACK,33-37,FALSE,4,Standard,Less than HS diploma,2,Violent/Non-Sex,1-2 years,10 or more,5,3 or more,0,5 or more,0,TRUE,TRUE,0,3,TRUE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,20.54545455,0,0,0,0,0.663716814,1,FALSE,0
3644,M,BLACK,43-47,FALSE,4,Standard,Less than HS diploma,2,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,4,3,2,TRUE,FALSE,3 or more,3,TRUE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,42,0,0.300000012,0,0,0.50952381,0.869642857,FALSE,1
22560,M,BLACK,43-47,FALSE,4,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,5 or more,5 or more,FALSE,TRUE,3 or more,3,FALSE,3 or more,2 or more,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,111,0,0,0,0,1,1,FALSE,0
3687,M,BLACK,48 or older,FALSE,4,Standard,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,5 or more,3,FALSE,FALSE,3 or more,4 or more,FALSE,3 or more,2 or more,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4 or more,0,0,0,,,,,,0,0,FALSE,1
